fn,tid,title,ratingcount,theyear,movieid,,,
titles01/tt0364569,tt0364569,Oldboy (2003),245394,2003,196,,,
titles01/tt0367110,tt0367110,Swades: We\,8.5,12600,197,,,
titles01/tt0372784,tt0372784,Batman Begins (2005),659591,2005,198,,,
titles01/tt0381681,tt0381681,Before Sunset (2004),113580,2004,199,,,
titles01/tt0395169,tt0395169,Hotel Ruanda (2004),195628,2004,200,,,
titles01/tt0401383,tt0401383,Schmetterling und Taucherglocke (2007),75965,2007,201,,,
titles01/tt0401792,tt0401792,Sin City (2005),491210,2005,202,,,
titles01/tt0405094,tt0405094,Das Leben der Anderen (2006),185524,2006,203,,,
titles01/tt0405159,tt0405159,Million Dollar Baby (2004),334315,2004,204,,,
titles01/tt0405508,tt0405508,Rang De Basanti (2006),36778,2006,205,,,
titles01/tt0407887,tt0407887,Departed - Unter Feinden (2006),598844,2006,206,,,
titles01/tt0434409,tt0434409,V wie Vendetta (2005),557042,2005,207,,,
titles01/tt0435761,tt0435761,Toy Story 3 (2010),356405,2010,208,,,
titles01/tt0440963,tt0440963,Das Bourne Ultimatum (2007),350787,2007,209,,,
titles01/tt0457430,tt0457430,Pans Labyrinth (2006),339845,2006,210,,,
titles01/tt0468569,tt0468569,The Dark Knight (2008),1148515,2008,211,,,
titles01/tt0469494,tt0469494,There Will Be Blood (2007),272992,2007,212,,,
titles01/tt0477348,tt0477348,No Country for Old Men (2007),434032,2007,213,,,
titles01/tt0482571,tt0482571,Prestige - Die Meister der Magie (2006),555345,2006,214,,,
titles01/tt0758758,tt0758758,Into the Wild (2007),292747,2007,215,,,
titles01/tt0796366,tt0796366,Star Trek (2009),401744,2009,216,,,
titles01/tt0848228,tt0848228,Marvel's The Avengers (2012),638083,2012,217,,,
titles01/tt0892769,tt0892769,Drachenzähmen leicht gemacht (2010),285643,2010,218,,,
titles01/tt0910970,tt0910970,WALL·E - Der letzte räumt die Erde auf (2008),476415,2008,219,,,
titles01/tt0947798,tt0947798,Black Swan (2010),413273,2010,220,,,
titles01/tt0978762,tt0978762,Mary & Max\,http://www.imdb.com/title/tt0978762/,77311,221,0,,
titles01/tt0986264,tt0986264,Taare Zameen Par (2007),48238,2007,222,,,
titles01/tt0993846,tt0993846,The Wolf of Wall Street (2013),285401,2013,223,,,
titles01/tt1010048,tt1010048,Slumdog Millionär (2008),470400,2008,224,,,
titles01/tt1028532,tt1028532,Hachiko - Eine wunderbare Freundschaft (2009),76285,2009,225,,,
titles01/tt1049413,tt1049413,Oben (2009),425870,2009,226,,,
titles01/tt1130884,tt1130884,Shutter Island (2010),495936,2010,227,,,
titles01/tt1170358,tt1170358,Der Hobbit - Smaugs Einöde (2013),239935,2013,228,,,
titles01/tt1187043,tt1187043,3 Idiots (2009),103975,2009,229,,,
titles01/tt1201607,tt1201607,Harry Potter und die Heiligtümer des Todes - Teil 2 (2011),346862,2011,230,,,
titles01/tt1205489,tt1205489,Gran Torino (2008),405722,2008,231,,,
titles01/tt1220719,tt1220719,Ip Man (2008),101486,2008,232,,,
titles01/tt1255953,tt1255953,Die Frau die singt - Incendies (2010),45292,2010,233,,,
titles01/tt1291584,tt1291584,Warrior (2011),220357,2011,234,,,
titles01/tt1305806,tt1305806,In ihren Augen (2009),82183,2009,235,,,
titles01/tt1345836,tt1345836,The Dark Knight Rises (2012),758626,2012,236,,,
titles01/tt1375666,tt1375666,Inception (2010),942259,2010,237,,,
titles01/tt1392214,tt1392214,Prisoners (2013),184698,2013,238,,,
titles01/tt1454029,tt1454029,The Help (2011),220355,2011,239,,,
titles01/tt1454468,tt1454468,Gravity (2013),341562,2013,240,,,
titles01/tt1490017,tt1490017,Lego (2014),52708,2014,241,,,
titles01/tt1504320,tt1504320,The King's Speech (2010),325645,2010,242,,,
titles01/tt1555149,tt1555149,Tropa de Elite 2 - O Inimigo Agora É Outro (2010),46844,2010,243,,,
titles01/tt1675434,tt1675434,Ziemlich beste Freunde (2011),286016,2011,244,,,
titles01/tt1798709,tt1798709,Her (2013),98365,2013,245,,,
titles01/tt1832382,tt1832382,Nader und Simin - eine Trennung (2011),105123,2011,246,,,
titles01/tt1853728,tt1853728,Django Unchained (2012),568296,2012,247,,,
titles01/tt1979320,tt1979320,Rush - Alles für den Sieg (2013),142959,2013,248,,,
titles01/tt2024544,tt2024544,12 Years a Slave (2013),161237,2013,249,,,
titles01/tt2106476,tt2106476,Die Jagd (2012),80966,2012,250,,,
titles02/index.html.1,tt0050598,Ein König in New York (1957),4268,1957,251,,,
titles02/index.html.10,tt0023948,Dinner um acht (1933),5139,1933,252,,,
titles02/index.html.100,tt0037077,The Miracle of Morgan's Creek (1944),4798,1944,253,,,
titles02/index.html.1000,tt0035753,Der Rabe (1943),5372,1943,254,,,
titles02/index.html.1001,tt0119167,Funny Games (1997),32584,1997,255,,,
titles02/index.html.1003,tt0053459,Das Schreckenshaus des Dr. Rasanoff (1960),12002,1960,256,,,
titles02/index.html.1006,tt0073540,Picknick am Valentinstag (1975),20020,1975,257,,,
titles02/index.html.1007,tt0062229,Der eiskalte Engel (1967),22465,1967,258,,,
titles02/index.html.1009,tt0069995,Wenn die Gondeln Trauer tragen (1973),26050,1973,259,,,
titles02/index.html.101,tt0025919,Napoleon vom Broadway (1934),3874,1934,260,,,
titles02/index.html.1010,tt0054167,Augen der Angst (1960),17160,1960,261,,,
titles02/index.html.1011,tt0061811,In der Hitze der Nacht (1967),39484,1967,262,,,
titles02/index.html.1013,tt3317282,Videoclub (2013),18,2013,263,,,
titles02/index.html.1018,tt0071877,Mord im Orient Express (1974),28857,1974,264,,,
titles02/index.html.102,tt0019421,Buster Keaton - Dampfer-Willis Sohn (1928),7236,1928,265,,,
titles02/index.html.1020,tt0090756,Blue Velvet (1986),100580,1986,266,,,
titles02/index.html.1021,tt0077413,Tod auf dem Nil (1978),15392,1978,267,,,
titles02/index.html.1022,tt0083908,Das Böse unter der Sonne (1982),6871,1982,268,,,
titles02/index.html.1023,tt0093223,Haus der Spiele (1987),14094,1987,269,,,
titles02/index.html.1024,tt1216487,Verdammnis (2009),55813,2009,270,,,
titles02/index.html.1025,tt0112722,Copykill (1995),36160,1995,271,,,
titles02/index.html.1026,tt0228786,Die purpurnen Flüsse (2000),40832,2000,272,,,
titles02/index.html.1027,tt0021165,Mord - Sir John greift ein! (1930),3464,1930,273,,,
titles02/index.html.103,tt0027996,Mr. Deeds geht in die Stadt (1936),12499,1936,274,,,
titles02/index.html.104,tt0035169,The Palm Beach Story (1942),6804,1942,275,,,
titles02/index.html.1041,tt0091787,Precious Images (1986),442,1986,276,,,
titles02/index.html.1045,tt0080388,Atlantic City\,7.4,6240,277,,,
titles02/index.html.1046,tt0028096,Der versteinerte Wald (1936),7818,1936,278,,,
titles02/index.html.1047,tt0171804,Boys Don't Cry (1999),63699,1999,279,,,
titles02/index.html.1048,tt0086066,Die Outsider (1983),45251,1983,280,,,
titles02/index.html.1049,tt0067549,The Panic in Needle Park (1971),8763,1971,281,,,
titles02/index.html.105,tt0019379,Es tut sich was in Hollywood (1928),2400,1928,282,,,
titles02/index.html.1050,tt0456396,Das Kind (2005),11521,2005,283,,,
titles02/index.html.1051,tt0117509,William Shakespeares Romeo & Julia (1996),129664,1996,284,,,
titles02/index.html.1052,tt0029453,Pépé le Moko - Im Dunkel von Algier (1937),3792,1937,285,,,
titles02/index.html.1053,tt0114660,Das Leben nach dem Tod in Denver (1995),19544,1995,286,,,
titles02/index.html.1054,tt0069762,Badlands (1973),35743,1973,287,,,
titles02/index.html.1055,tt0043386,Goldhelm (1952),2648,1952,288,,,
titles02/index.html.106,tt0010879,When the Clouds Roll by (1919),530,1919,289,,,
titles02/index.html.1069,tt0433547,Destroy All Humans! (Video Game 2005),321,2005,290,,,
titles02/index.html.107,tt0028597,Die schreckliche Wahrheit (1937),11147,1937,291,,,
titles02/index.html.1075,tt0048728,Über den Dächern von Nizza (1955),35545,1955,292,,,
titles02/index.html.1079,tt0037008,Laura (1944),23895,1944,293,,,
titles02/index.html.108,tt0028010,Mein Mann Godfrey (1936),13141,1936,294,,,
titles02/index.html.1080,tt0058329,Marnie (1964),26944,1964,295,,,
titles02/index.html.1097,tt0802096,Whose Line Is It Anyway? Episode #2.7 (TV Episode 1989),,1989,296,,,
titles02/index.html.11,tt0015116,Manhandled (1924),739,1924,297,,,
titles02/index.html.110,tt0462071,The 100 Greatest War Films (TV Movie 2005),90,2005,298,,,
titles02/index.html.1100,tt0056714,Zatôichi monogatari (1962),2441,1962,299,,,
titles02/index.html.1102,tt0036400,Judo Saga - Die Legende vom großen Judo (1943),2409,1943,300,,,
titles02/index.html.1103,tt0955308,Robin Hood (2010),166816,2010,301,,,
titles02/index.html.1104,tt0317648,Hidalgo - 3000 Meilen zum Ruhm (2004),58431,2004,302,,,
titles02/index.html.1105,tt0472043,Apocalypto (2006),193604,2006,303,,,
titles02/index.html.1106,tt0069113,Die Höllenfahrt der Poseidon (1972),27872,1972,304,,,
titles02/index.html.1107,tt0066603,Zatôichi to Yôjinbô (1970),1441,1970,305,,,
titles02/index.html.1108,tt0078243,Die 36 Kammern der Shaolin (1978),8402,1978,306,,,
titles02/index.html.1109,tt0089153,Fleisch & Blut (1985),10990,1985,307,,,
titles02/index.html.1110,tt0078513,Yagyû ichizoku no inbô (1978),1059,1978,308,,,
titles02/index.html.1111,tt0054953,Die Kanonen von Navarone (1961),29407,1961,309,,,
titles02/index.html.1125,tt0050613,Das Schloß im Spinnwebwald (1957),21413,1957,310,,,
titles02/index.html.1127,tt3332258,Smashing UK Top 10 Top 10 International Films (TV Episode 2013),,2013,311,,,
titles02/index.html.1132,tt0012532,Zwei Waisen im Sturm (1921),3138,1921,312,,,
titles02/index.html.1133,tt0020298,Queen Kelly (1929),2305,1929,313,,,
titles02/index.html.1134,tt0019788,Coquette (1929),1500,1929,314,,,
titles02/index.html.1135,tt0019344,...aber das Fleisch ist schwach (1928),1683,1928,315,,,
titles02/index.html.1136,tt0012763,Der Überfall auf die Virginiapost (1921),1347,1921,316,,,
titles02/index.html.1137,tt0029606,Ein Stern geht auf (1937),4471,1937,317,,,
titles02/index.html.1138,tt0022054,The Last Flight (1931),1066,1931,318,,,
titles02/index.html.1139,tt0055601,Viridiana (1961),12404,1961,319,,,
titles02/index.html.1140,tt0037884,Das verlorene Wochenende (1945),19966,1945,320,,,
titles02/index.html.1141,tt0022834,Der schöne Karl (1932),1136,1932,321,,,
titles02/index.html.1155,tt0407969,The Magic of Fellini (TV Movie 2002),258,2002,322,,,
titles02/index.html.1159,tt0039689,Goldenes Gift (1947),17520,1947,323,,,
titles02/index.html.116,tt0019258,Ein Mädel mit Tempo (1928),1701,1928,324,,,
titles02/index.html.1160,tt0037865,Todsünde (1945),5934,1945,325,,,
titles02/index.html.1161,tt0046126,Niagara (1953),8741,1953,326,,,
titles02/index.html.1162,tt0040823,Du lebst noch 105 Minuten (1948),5734,1948,327,,,
titles02/index.html.1163,tt0041088,Act of Violence (1948),2370,1948,328,,,
titles02/index.html.1164,tt0041958,Gefahr in Frisco (1949),2860,1949,329,,,
titles02/index.html.1165,tt0047985,An einem Tag wie jeder andere (1955),5567,1955,330,,,
titles02/index.html.1166,tt0042046,Das unheimliche Fenster (1949),1750,1949,331,,,
titles02/index.html.1167,tt0039725,Hemmungslose Liebe (1947),2333,1947,332,,,
titles02/index.html.1168,tt0051036,Dein Schicksal in meiner Hand (1957),15654,1957,333,,,
titles02/index.html.1169,tt0038559,Gilda (1946),15960,1946,334,,,
titles02/index.html.117,tt0091167,Hannah und ihre Schwestern (1986),41610,1986,335,,,
titles02/index.html.1183,tt1896410,Siskel & Ebert & the Movies Men in Black/Wild America/Out to Sea (TV Episode 1997),,1997,336,,,
